LEAID,total_enrollment,num_schools_reporting,mean_school_absent_rate,weighted_absent_rate
3415450,210.0,2,5.052026286966046,6.666666666666667
3415480,425.0,2,1.7769864544058094,1.411764705882353
3415510,802.0,5,0.1652892561983471,0.24937655860349128
3415540,170.0,4,4.968195611577965,4.117647058823529
3415570,6.0,1,0.0,0.0
3415600,12.0,1,0.0,0.0
3415630,157.0,5,1.7179487179487183,1.2738853503184713
3415660,17.0,1,0.0,0.0
3415690,206.0,4,0.3787878787878788,0.4854368932038835
3415720,9.0,1,0.0,0.0
3415750,19.0,1,10.526315789473683,10.526315789473683
3415810,20.0,1,0.0,0.0
3415840,9.0,1,0.0,0.0
3415870,83.0,2,0.0,0.0
3415900,304.0,9,0.0,0.0
3415930,118.0,1,1.694915254237288,1.694915254237288
3415960,111.0,3,2.3412698412698414,2.7027027027027026
3415990,55.0,4,1.1904761904761905,1.8181818181818181
3416020,48.0,2,0.0,0.0
3416080,79.0,7,3.7019458946369244,7.594936708860759
3416110,131.0,6,0.0,0.0
3416170,34.0,2,0.0,0.0
3416200,122.0,3,1.0101010101010102,0.819672131147541
3416230,1800.0,18,5.403527022111731,3.611111111111111
3416260,42.0,2,0.0,0.0
3416290,3048.0,19,1.171818470971539,1.0826771653543308
3416320,25.0,1,4.0,4.0
3416350,9.0,1,0.0,0.0
3416380,1869.0,14,0.4185724687868064,0.37453183520599254
3416440,26.0,2,0.0,0.0
3416470,442.0,6,4.448991467569944,4.524886877828054
3416500,688.0,10,2.5609014544799953,2.0348837209302326
3416530,75.0,3,0.0,0.0
3416560,174.0,3,0.0,0.0
3416590,14.0,1,0.0,0.0
3416620,57.0,3,0.0,0.0
3416650,128.0,3,5.520513383062746,5.46875
3416680,82.0,2,2.083333333333333,2.439024390243902
3416710,280.0,5,2.3170801084504187,2.142857142857143
3416740,129.0,6,0.0,0.0
3416800,1968.0,13,3.803791405675096,3.658536585365854
3416830,226.0,5,2.0877325289089996,1.7699115044247788
3416860,97.0,4,0.0,0.0
3416870,8.0,1,0.0,0.0
3416890,324.0,6,3.404897046537913,3.0864197530864192
3416920,84.0,3,3.1944444444444446,3.5714285714285716
3416950,36.0,2,2.631578947368421,2.7777777777777772
3416970,189.0,2,0.38167938931297707,0.5291005291005291
3416980,92.0,5,0.0,0.0
3417010,39.0,2,12.916666666666668,12.820512820512821
3417070,395.0,11,2.221585660793677,1.7721518987341771
3417100,117.0,3,1.5151515151515154,1.7094017094017095
3417130,138.0,4,2.097902097902098,2.1739130434782608
3417160,31.0,2,2.5,3.225806451612903
3417190,55.0,2,0.0,0.0
3417220,161.0,1,0.6211180124223602,0.6211180124223602
3417250,80.0,3,0.8130081300813008,1.25
3417280,702.0,14,0.8037881819394423,0.7122507122507122
3417310,189.0,3,0.0,0.0
3417340,1.0,1,0.0,0.0
3417400,9.0,1,0.0,0.0
3417430,263.0,5,7.426689342403629,4.942965779467681
3417460,103.0,2,0.0,0.0
3417490,47.0,2,0.0,0.0
3417500,73.0,7,0.3968253968253968,1.36986301369863
3417520,237.0,8,3.5957487061810367,3.3755274261603376
3417550,148.0,2,0.0,0.0
3417580,704.0,8,0.211864406779661,0.14204545454545456
3417610,553.0,11,0.0,0.0
3417640,81.0,3,1.0101010101010102,1.2345679012345678
3417700,504.0,10,0.0,0.0
3417730,85.0,2,0.0,0.0
3417760,217.0,10,0.0,0.0
3417790,34.0,1,8.823529411764707,8.823529411764707
3417820,181.0,6,1.1111111111111112,0.5524861878453039
3417850,17.0,1,0.0,0.0
3417880,64.0,2,5.7359307359307365,4.6875
3417910,13.0,1,0.0,0.0
3417920,70.0,1,0.0,0.0
3417940,55.0,3,17.592592592592595,14.545454545454545
3417970,22.0,1,4.545454545454546,4.545454545454546
3418000,643.0,8,8.32552034960936,7.620528771384137
3418030,3.0,1,0.0,0.0
3418040,54.0,5,0.0,0.0
3418060,290.0,8,5.1915526849037485,5.172413793103448
3418090,23.0,1,0.0,0.0
3418120,1614.0,24,2.781804144576016,2.8500619578686495
3418150,196.0,4,7.4863387978142075,6.63265306122449
3418180,23.0,1,0.0,0.0
