LEAID,total_enrollment,num_schools_reporting,mean_school_absent_rate,weighted_absent_rate,grad_rate
100005,532.0,4,3.379831713914761,2.819548872180451,88.625
100006,924.0,12,8.86509945489026,8.982683982683982,85.75
100007,434.0,2,3.5914388166741373,2.995391705069125,93.05263157894736
100008,429.0,4,6.051376336464056,5.128205128205129,95.75
100013,117.0,1,1.7094017094017095,1.7094017094017095,95.4
100090,342.0,4,16.165127939579175,12.865497076023392,61.5
100120,302.0,4,8.008349083394387,7.6158940397351,90.14285714285714
100180,498.0,3,8.010623675343703,8.032128514056225,72.0
100185,349.0,2,3.4777517564402807,3.7249283667621778,92.6
100190,452.0,3,2.485959885737767,2.6548672566371683,96.83333333333331
100210,100.0,2,5.873180873180873,5.0,92.15384615384616
100240,830.0,4,3.0586349742599745,2.7710843373493974,84.77777777777777
100270,2310.0,12,4.114627765714471,2.987012987012987,76.67647058823529
100330,780.0,5,13.101679165875227,9.23076923076923,57.75
100360,470.0,3,6.97413885711385,6.595744680851064,82.25
100390,3656.0,18,3.2699572592917345,2.6531728665207877,69.33333333333333
100420,495.0,6,5.95617541411838,5.858585858585859,87.16666666666667
100510,408.0,5,6.806518423671783,6.617647058823529,77.375
100540,754.0,10,5.250009491298922,4.641909814323608,85.6086956521739
100630,1059.0,7,19.18565076743648,19.07459867799811,84.75
100780,284.0,3,5.855190711630416,4.929577464788733,94.2
100840,128.0,3,8.45556699262309,7.8125,77.0
101110,871.0,11,9.978638027671831,8.610792192881744,82.75
101140,1374.0,9,6.32461452088814,5.967976710334789,85.30434782608695
101170,947.0,7,4.006489586265479,2.851108764519535,77.57894736842105
101230,1336.0,10,6.3863884189522135,5.838323353293413,83.0
101290,529.0,5,4.011446354157352,3.213610586011342,80.30434782608695
101320,1073.0,7,4.773377819569594,3.91425908667288,92.625
101350,102.0,1,3.92156862745098,3.92156862745098,80.75
101380,235.0,2,2.6595744680851063,1.702127659574468,87.6470588235294
101440,491.0,4,23.87972077535757,26.476578411405296,57.0
101530,636.0,5,5.699191936335636,5.50314465408805,89.57142857142857
101620,939.0,7,6.429986125993386,3.301384451544196,75.11111111111111
101760,122.0,1,2.459016393442623,2.459016393442623,93.125
101770,282.0,2,2.703922249219021,1.7730496453900708,90.6875
101800,2609.0,13,3.005162760054378,2.4530471444998083,80.35483870967742
101830,217.0,4,6.503496503496503,4.608294930875576,88.5625
101920,2461.0,14,4.292019645548107,2.438033319788704,83.72222222222223
102010,1000.0,5,1.9888473746641524,2.1,90.17647058823528
102040,580.0,9,10.019058815464035,8.96551724137931,87.875
