LEAID,absent_rate,log_enrolled,grad_rate
100005,13.42762674504041,8.602269363771356,94.0
100006,16.286416286416287,8.647870515057853,91.0
100007,9.256037302526272,9.572828387229206,94.0
100008,9.866716031099592,9.287671714912506,96.0
100011,11.889491859891466,7.614312146452,95.0
100012,14.928511354079058,7.774015077250727,92.0
100013,6.867046950416849,8.42463920980563,97.0
100030,11.015831134564644,8.016977746762262,89.0
100060,15.172024816694869,7.480428306074208,95.0
100090,20.17259978425027,7.5251007461258,77.0
100100,10.295812524010756,7.864419904994565,92.0
100120,11.990885787524922,8.163656176168432,89.0
100180,33.067729083665334,7.317212408359839,92.0
100185,17.012313674659755,8.034631032923107,95.0
100189,10.501029512697322,7.284134806195205,95.0
100190,10.141820580474931,8.710124927322207,97.0
100194,8.671241422333125,8.072779333169498,93.0
100210,5.659283312072365,9.062188330952324,95.0
100240,19.7574421168688,9.112727543109182,89.0
100270,17.990830297701294,10.36860426020847,88.0
100330,23.911211014329865,8.177234885510194,77.0
100360,31.750553972776196,8.058010800802085,88.0
100390,29.18308379301287,10.036356225610552,79.0
100420,12.696166709544638,8.958540111412168,93.0
100480,20.944992947813823,7.257002707092073,87.0
100510,19.444444444444446,8.026170194946426,83.0
100540,13.029391344596158,9.064389316491878,92.0
100600,14.539808018068886,8.17244681834278,82.0
100630,27.029096477794795,8.273336598504486,94.0
100660,17.859942513718316,8.942983665985647,87.0
100690,17.388114453411593,7.217443431696533,82.0
100720,14.7024504084014,7.852050207265889,93.0
100750,19.65678627145086,7.56164174558878,87.0
100780,14.783281733746133,7.857093864902493,94.0
100810,20.80436941410129,7.607878073278507,95.0
100840,9.945820433436532,7.857093864902493,93.0
100870,11.909514304723883,7.315218389752975,82.0
100930,13.286264441591785,8.044305406990638,92.0
100960,22.302158273381295,7.707062655370473,92.0
100990,12.273146724084896,8.086717920303906,93.0
101020,14.293123120008296,9.17378011666438,94.0
101050,16.872427983539097,8.058010800802085,97.0
101110,27.38993710691824,8.064636475774222,92.0
101140,17.515206127506193,9.09133158539398,92.0
101170,16.19392021697367,9.08805973726735,87.0
101200,16.977046340407103,7.744569809354496,92.0
101230,18.248499666592576,9.104757609401117,87.0
101290,14.71900089206066,9.324561516066206,90.0
101320,17.39190687361419,8.88405606174246,93.0
101350,23.29478404531508,8.351610750626559,92.0
101380,23.59338061465721,9.04310445260027,95.0
101410,31.626984126984127,7.832014180505469,84.0
101440,28.899352560329604,7.4377951216719325,82.0
101470,10.76194575979337,7.750614732770409,92.0
101530,18.17973406694177,8.380685946761574,95.0
101560,11.241870548157324,8.079927770758275,97.0
101590,14.210108494310663,8.237214703349489,91.0
101620,24.355521354367063,8.556029215201436,84.0
101660,18.190921228304404,8.005033344637111,92.0
101680,16.343490304709142,6.9874902470009905,82.0
101690,15.472481827622014,7.563200592358071,95.0
101710,15.294576667967224,7.848933726364071,91.0
101720,16.283292978208234,7.409741954080923,92.0
101730,13.016234690971237,8.163656176168432,96.0
101740,12.757367783609205,7.814803429489359,92.0
101760,6.98987997175806,8.354438940114811,93.0
101770,18.356121326418357,8.758255243232792,94.0
101800,17.969538875799394,10.076095417142444,88.0
101830,14.131872284148876,8.574140471857987,92.0
101860,19.937888198757765,7.383989457978509,87.0
101890,10.891089108910892,7.910957382845589,92.0
101920,17.618597408375507,10.490218104391584,92.0
101950,17.277707543194268,7.771910256435763,92.0
102010,20.50878255602665,9.018574356354229,93.0
102040,14.31552587646077,8.474703139795285,93.0
102070,20.509312848574133,9.159362817211315,90.0
102100,20.783890686803307,9.029178142902074,90.0
102160,18.448023426061493,7.2196420401307355,82.0
102190,20.62015503875969,7.5678626054638825,87.0
102220,12.641441810455174,9.879758225836891,95.0
102310,16.55793724759242,8.076826031298808,89.0
102370,20.10281770314501,10.936956692872034,86.0
102400,14.582705634227178,8.107418811719974,86.0
102430,18.58486033902958,10.279935711573799,81.0
102480,19.12011353373758,8.955577146281511,94.0
102490,4.314720812182741,8.374246182096304,97.0
102520,8.421052631578947,7.955074273262696,96.0
