LEAID,chron_absent,enrolled,absent_rate
100005,731.0,5444.0,13.42762674504041
100006,928.0,5698.0,16.286416286416287
100007,1330.0,14369.0,9.256037302526272
100008,1066.0,10804.0,9.866716031099592
100011,241.0,2027.0,11.889491859891466
100012,355.0,2378.0,14.928511354079058
100013,313.0,4558.0,6.867046950416849
100030,334.0,3032.0,11.015831134564644
100060,269.0,1773.0,15.172024816694869
100090,374.0,1854.0,20.17259978425027
100100,268.0,2603.0,10.295812524010756
100120,421.0,3511.0,11.990885787524922
100180,498.0,1506.0,33.067729083665334
100185,525.0,3086.0,17.012313674659755
100188,317.0,1160.0,27.327586206896555
100189,153.0,1457.0,10.501029512697322
100190,615.0,6064.0,10.141820580474933
100194,278.0,3206.0,8.671241422333125
100195,97.0,1609.0,6.028589185829708
100210,488.0,8623.0,5.659283312072365
100240,1792.0,9070.0,19.7574421168688
100270,5729.0,31844.0,17.990830297701294
100330,851.0,3559.0,23.911211014329865
100360,1003.0,3159.0,31.750553972776196
100390,6666.0,22842.0,29.18308379301287
100420,987.0,7774.0,12.696166709544638
100450,160.0,1114.0,14.362657091561939
100480,297.0,1418.0,20.944992947813823
100510,595.0,3060.0,19.444444444444446
100540,1126.0,8642.0,13.029391344596158
100600,515.0,3542.0,14.539808018068886
100630,1059.0,3918.0,27.029096477794795
100660,1367.0,7654.0,17.859942513718316
100690,237.0,1363.0,17.388114453411593
100720,378.0,2571.0,14.702450408401399
100750,378.0,1923.0,19.65678627145086
100780,382.0,2584.0,14.783281733746131
100810,419.0,2014.0,20.80436941410129
100840,257.0,2584.0,9.945820433436532
100870,179.0,1503.0,11.909514304723885
100900,141.0,879.0,16.040955631399317
100930,414.0,3116.0,13.286264441591783
100960,496.0,2224.0,22.302158273381295
100990,399.0,3251.0,12.273146724084896
101020,1378.0,9641.0,14.293123120008296
101050,533.0,3159.0,16.872427983539097
101080,279.0,938.0,29.744136460554373
101110,871.0,3180.0,27.38993710691824
101140,1555.0,8878.0,17.515206127506193
101170,1433.0,8849.0,16.19392021697367
101200,392.0,2309.0,16.977046340407103
101230,1642.0,8998.0,18.248499666592576
101260,131.0,617.0,21.231766612641813
101290,1650.0,11210.0,14.71900089206066
101320,1255.0,7216.0,17.39190687361419
101350,987.0,4237.0,23.29478404531508
101380,1996.0,8460.0,23.59338061465721
101410,797.0,2520.0,31.626984126984127
101440,491.0,1699.0,28.899352560329604
101470,250.0,2323.0,10.76194575979337
101530,793.0,4362.0,18.17973406694177
101560,363.0,3229.0,11.241870548157324
101590,537.0,3779.0,14.210108494310663
101620,1266.0,5198.0,24.355521354367063
101640,264.0,1149.0,22.97650130548303
101660,545.0,2996.0,18.190921228304404
101680,177.0,1083.0,16.343490304709142
101690,298.0,1926.0,15.472481827622014
101710,392.0,2563.0,15.294576667967224
101720,269.0,1652.0,16.283292978208234
101730,457.0,3511.0,13.016234690971235
101740,316.0,2477.0,12.757367783609205
101760,297.0,4249.0,6.98987997175806
101770,1168.0,6363.0,18.356121326418357
101800,4271.0,23768.0,17.969538875799394
101830,748.0,5293.0,14.131872284148875
101860,321.0,1610.0,19.937888198757765
101890,297.0,2727.0,10.891089108910892
101920,6336.0,35962.0,17.618597408375507
101950,410.0,2373.0,17.277707543194268
101980,139.0,937.0,14.834578441835648
102010,1693.0,8255.0,20.50878255602665
102040,686.0,4792.0,14.31552587646077
102070,1949.0,9503.0,20.509312848574133
102100,1734.0,8343.0,20.783890686803307
102130,66.0,463.0,14.254859611231103
102160,252.0,1366.0,18.448023426061493
102190,399.0,1935.0,20.62015503875969
102220,2469.0,19531.0,12.641441810455174
102250,152.0,1054.0,14.421252371916509
102310,533.0,3219.0,16.55793724759242
102350,261.0,1047.0,24.92836676217765
102370,11301.0,56216.0,20.10281770314501
102400,484.0,3319.0,14.582705634227178
102430,5416.0,29142.0,18.58486033902958
102480,1482.0,7751.0,19.12011353373758
102490,187.0,4334.0,4.314720812182741
102520,240.0,2850.0,8.421052631578947
102550,162.0,1497.0,10.821643286573146
102580,579.0,4489.0,12.898195589218089
102610,180.0,1334.0,13.493253373313344
102635,376.0,4076.0,9.224730127576054
102640,310.0,2088.0,14.846743295019158
102650,908.0,3955.0,22.9582806573957
102670,241.0,1312.0,18.36890243902439
102700,801.0,7128.0,11.237373737373737
102730,198.0,2557.0,7.743449354712554
102760,141.0,1188.0,11.868686868686869
102790,375.0,2193.0,17.099863201094394
102820,533.0,2416.0,22.061258278145697
102850,215.0,1558.0,13.7997432605905
102880,926.0,3502.0,26.442033123929182
102910,217.0,2456.0,8.835504885993485
102940,345.0,2519.0,13.695911075823739
102970,602.0,3083.0,19.526435290301656
103000,298.0,1032.0,28.875968992248062
103030,2624.0,20593.0,12.742193949400281
103062,1237.0,9247.0,13.377311560506111
103090,291.0,1540.0,18.896103896103895
103120,392.0,2166.0,18.09787626962142
103150,367.0,2019.0,18.17731550272412
103180,1356.0,7569.0,17.91518034086405
103210,485.0,2877.0,16.857838025721236
103240,420.0,1799.0,23.346303501945524
103270,338.0,1185.0,28.523206751054854
103300,161.0,1157.0,13.915298184961106
103330,469.0,1929.0,24.313115603939867
103360,1254.0,10558.0,11.877249479068006
103390,2428.0,18680.0,12.997858672376875
103420,253.0,1497.0,16.90046760187041
103430,545.0,7226.0,7.542208690838638
103450,1589.0,7424.0,21.403556034482758
103480,575.0,2651.0,21.689928328932478
103510,367.0,1679.0,21.858248957712924
103540,164.0,1249.0,13.130504403522819
103580,519.0,2365.0,21.945031712473572
200001,1788.0,4238.0,42.18971212836243
200003,1034.0,1930.0,53.575129533678755
200004,380.0,463.0,82.07343412526998
200005,178.0,336.0,52.976190476190474
200006,26.0,430.0,6.046511627906977
200007,60.0,208.0,28.846153846153843
200010,6.0,18.0,33.33333333333333
200020,873.0,2002.0,43.60639360639361
200030,35.0,112.0,31.25
200050,82.0,341.0,24.04692082111437
200060,105.0,363.0,28.92561983471074
200070,139.0,334.0,41.61676646706587
200090,71.0,281.0,25.26690391459075
200100,259.0,741.0,34.952766531713905
200120,175.0,489.0,35.787321063394685
200130,23.0,337.0,6.824925816023739
200150,589.0,2360.0,24.95762711864407
200180,11972.0,46269.0,25.87477576779269
200210,1049.0,4753.0,22.070271407532086
200240,409.0,1271.0,32.17938630999213
200270,93.0,260.0,35.76923076923077
200300,45.0,133.0,33.83458646616541
200330,15.0,78.0,19.230769230769234
200360,27.0,103.0,26.21359223300971
200390,2728.0,8106.0,33.65408339501604
200450,44.0,126.0,34.92063492063492
200480,481.0,2274.0,21.152154793315745
200485,21.0,179.0,11.731843575418994
200510,4982.0,18801.0,26.498590500505294
200520,72.0,193.0,37.30569948186528
200525,110.0,324.0,33.95061728395062
200540,112.0,183.0,61.20218579234973
200570,268.0,683.0,39.23865300146413
200600,4037.0,13516.0,29.86830423202131
200610,958.0,2186.0,43.82433668801464
200625,1135.0,2082.0,54.51488952929875
200630,7.0,11.0,63.63636363636363
200660,101.0,465.0,21.72043010752688
200670,29.0,69.0,42.028985507246375
200680,54.0,200.0,27.0
200690,35.0,141.0,24.822695035460992
200700,93.0,182.0,51.098901098901095
200710,265.0,610.0,43.44262295081967
200715,37.0,49.0,75.51020408163265
200720,108.0,476.0,22.689075630252102
200730,59.0,165.0,35.75757575757576
200760,185.0,409.0,45.2322738386308
200770,91.0,228.0,39.91228070175439
200775,160.0,237.0,67.51054852320675
200780,192.0,648.0,29.629629629629626
200800,26.0,68.0,38.23529411764706
200810,41.0,304.0,13.486842105263158
200840,22.0,63.0,34.92063492063492
200862,71.0,248.0,28.62903225806452
